"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"가가호호방문요양센터","호원동 방문요양보호사 모집","(11645)  경기도 의정부시 망월로13번길 13, .","11715 경기도 의정부시 평화로150번길 26 (호원동, 아이파크호원동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","호원동 방문요양보호사 모집   수급대상 : 4등급 여자 어르신 (식사, 청소, 말벗 등)  근무지역 :  의정부시 망월로 13번길 13(호원동, 신일파크빌) 근무시간 : 월, 수, 금 ( 오후 2시 ~ 오후 5시 ) 시     급  : 13,000원","기타(전화면접)","방문","기타(채용확정 후 요양보호사 자격증, 건강검진서 제출, 범죄경력조회서 제출(개인식별번호 삭제) )","","","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무"
"가정재가장기요양기관","[김포 양촌] 4등급 여자어르신 재가요양보호사 채...","(10047)  경기도 김포시 양촌읍 삭시갈마로54번길 45","22777 인천광역시 서해구 원창로239번길 29-2, 101호 (가정동)","시급10,320원 이상,","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 6일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-03","26-10-02","","-4등급 여자어르신 -11시~ 2시 또는 12~3시 시간조율 가능/ 주6일  -토요일 근무 가능하신 분  -10,320원 (시급+제수당 포함 13,300 -반려동물 없음","서류,면접","방문","기타(요양보호사자격증)","","032-226-0015","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 6일 근무"
"다비다재가복지센터","(인천 서구 LH13단지아파트) 5등급 남자어르신...","(23556)  인천광역시 검단구 서로3로 49, 1302동 (당하동, 인천검단 엘에이치 13단지)","21007 인천광역시 계양구 장제로 1285, 401gh (장기동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","노인 돌봄 종사원(550300)","노인 요양 복지시설 운영업","신입","학력무관","","26-08-03","채용시까지  26-10-02","","- 대상 :5등급 남자 독거 어르신  - 직무내용:일상생활지원서비스 - 근무시간 :오전: 09:00~12:00(3시간)  - 월~금 주 5회    - 어르신 좋으신 분입니다. - 치매이수 필수 - 마음 따뜻한 분 지원 부탁드려요^^ - 시급 (13,100)","면접","방문","이력서","","032-552-8004","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"엄마품방문요양센터","송도 재가 요양보호사 구인","(22018)  인천광역시 연수구 랜드마크로 110, . (송도동, 송도 오션파크 베르디움)","22233 인천광역시 미추홀구 매소홀로 559 (문학동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","1등급 남자 어르신 재가요양보호사 모집 배우자와 자녀와 함께 거주중 포괄시급 : 13,100원(기본 10,320원+각종수당포함) 근무일 : 주6일 09:00 ~ 12:00 요양보호사 자격증 필수 건강검진서 필수(채용시)","면접","고용24,기타(전화연락)","기타(요양보호사자격증+건강검진서(채용시))","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"삼성데이케어센터","재가 요양보호사 구인","(21125)  인천광역시 계양구 효서로 381, 203동 (작전동, 현대2차아파트)","21126 인천광역시 계양구 효서로 362, 삼성데이케어센터 (작전동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 양로 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","[직무소개] 저희 기관에서는 4등급 여성 어르신을 돌보는 따뜻한 마음을 가진 노인 돌봄사를 모집하고 있습니다. 평일 오전 10시부터 오후 1시까지, 주 5일 동안 어르신의 일상생활을 지원하고 쾌적한 환경을 조성해 주는 데 참여하실 수 있습니다.  [주요업무] - 어르신의 이동 및 산책을 지원합니다. - 주변 청결 관리를 도와줍니다. - 목욕 및 식사를 도와줍니다. - 안전하고 편안한 환경 조성에 힘씁니다.","서류,면접","방문,고용24,이메일","이력서,기타(요양보호사)","","032-555-7200","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"참나눔재가복지센터","스프링카운티자이 요양보호사님을 모십니다.","(16995)  경기도 용인시 기흥구 동백죽전대로 333 (중동, 스프링카운티자이)","16971 경기도 용인시 기흥구 신구로54번길 4-1 (구갈동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","94세 4등급 남자어르신 혼자거동 혼자거주 가사 및 정서지원서비스  근무시간: 8시 30분 - 11시 30분 근무요일 : 월요일 - 토요일 임금(시간당) 10,320 + 주휴수당 + 연차수당 + 기타수당 = 13,300원  기타 자세한 사항은 전화주세요.","면접","방문,고용24","이력서","","031-693-7944","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무"
"너른고을돌봄센터","문형동 요양선생님 구합니다.","(12774)  경기도 광주시 봉골길134번길 13-18 (문형동)","12821 경기도 광주시 신현로 65-22 (신현동, 현대모닝사이드1차 상가)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","4등급 아버님이시고,  혼자 거주하십니다.  08:30 ~ 11:30시 까지 월~토 주 6일 근무입니다.   주휴수당 포함 13,100원 입니다","서류","고용24","기타(요양보호사 1급자격증 건강검진 (1년 이내))","","031-715-6680","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무"
"공감재가복지센터","[개봉2동] 재가요양보호사 모집","(08347)  서울특별시 구로구 개봉로15길 18-19 (개봉동, 삼성비취빌Ⅰ)","08225 서울특별시 구로구 중앙로3길 12 (고척동, 서봉빌딩)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오후) 1시 30분 ~ (오후) 4시 30분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","[개봉2동] 삼성비취빌  -대상자: 4등급 할머니/ 거동가능, 배우자 거주 -근무내용: 신체 및 가사활동지원 -근무시간: 13:30~16:30 / 주5일 -급여: 시급 10,320원[포괄 시급 13,000원] *교포 비희망","면접","방문,기타(전화 010-4703-5243)","이력서,기타(요양보호사 자격증, 건강검진 결과지)","","","평일 : (근무시간) (오후) 1시 30분 ~ (오후) 4시 30분, 주 5일 근무"
"나눔재가노인복지센터","요양보호사구인","(21445)  인천광역시 부평구 하정로16번길 12-8, . (십정동)","21027 인천광역시 계양구 계양산로193번길 16-1, 나눔재가노인복지센터","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 거주 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","* 요양보호사의 통상업무    - 4등급 남자어르신으로 온순하심.      - 기본적 생리 처리는 스스로 하심.  * 시급 : 13,100원(법정 최저시급 10,320 + 각종수당 2,780)          ** 조정 가능","기타(*** 전화 통화로 의견 조율 후             - 면접진행       - 입사 결정시 입사관련 서류 제출)","고용24,기타(_  전화 등)","기타(*** 요양보호사1급 자격증 필수.        - 입사결정시 추후 관련서류 제출)","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"케어맘방문요양센터","[고척1동/고척초 인근] 재가요양보호사 모집","(08232)  서울특별시 구로구 경서로7가길 24 (고척동)","08225 서울특별시 구로구 중앙로3길 12, 비지팅엔젤스 구로개봉지점 (고척동, 서봉빌딩)","시급10,320원 이상 ~ 13,500원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","[고척1동/고척초 인근]  - 대상자: 3등급  할아버지 / 거동가능,화장실 이용하심  - 직무내용: 식사(반찬)도움, 신체지원, 가사 및 일상생활지원 등 - 근로시간 : 09:00~12:00 / 주5일 - 급여:  시급 10,320원[포괄시급 13,500원] * 교포 비희망","면접","방문,기타(전화 010-8662-5932)","이력서,기타(자격증)","","02-2613-8116","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"주식회사 메디컬케어","[관악구 양녕로] 4등급 할아버지, 주 5일, 1...","(08746)  서울특별시 관악구 양녕로6라길 29, 2층 (봉천동)","08748 서울특별시 관악구 봉천로 445, 3층 (봉천동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","[관악구 양녕로] 4등급 할아버지 - 주 5일, 11:00~14:00(30분 정도 시간변경 가능) - 직무내용 : 일상생활지원 - 시급: 13,000원 (주휴수당 등 기타수당 포함)","면접,기타(전화)","방문","기타(요양보호사 자격증, 건강검진 확인서)","","02-877-8910","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 5일 근무"
"장성재가복지센터","인천 서해구 2등급 여자어르신 재가 요양보호사 모...","(22821)  인천광역시 서해구 고래울로24번길 16 (가좌동)","07960 서울특별시 양천구 목동중앙본로 35","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","그 외 사회복지 종사원(232904)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-28","","1. 대상자 : 2등급 여자 어르신(부부 거주)  2.업무내용 : 주 업무는 어르신 걷기 운동 보조 지원 입니다                    가사지원  *직원채용후 사회보험 가입예정","면접","고용24,기타(채용 담당자 전화)","기타(급여통장 사본 / 요양보호사 자격증 사본)","","02-2645-3320","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"금빛사랑재가복지센터","마곡13단지] 재가요양보호사 구인","(07809)  서울특별시 강서구 마곡중앙1로 71 (마곡동, 마곡 13단지 힐스테이트 마스터)","08021 서울특별시 양천구 목동로11길 27, 102호 (신정동, 명성쉐르빌)","시급10,320원 이상,","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","공공관계 서비스업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","- 마곡엠밸리13단지, 3등급 여자어르신(85세) - 가사 및 일상생활지원 등 - 11:00~14:00 주6일(30분~1시간 정도 근무시간 협의 가능) - 지원문의 02-2691-8006","면접","방문,기타(전화 후 방문)","기타(자격증사본, 건강검진 결과지)","","02-2691-8006","평일 : (근무시간) (오전) 11시 00분 ~ (오후) 2시 00분, 주 6일 근무"
"예은노인복지센터","재가요양보호사 구인","(21391)  인천광역시 부평구 시장로61번길 6 (부평동, 노블레스뷰)","21382 인천광역시 부평구 화랑북로 18-2 (산곡동)","시급10,320원 이상,","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 비거주 복지 서비스업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","- 부평깡시장 동부교회 건너 4등급남자어르신(독거) - 주5일 10:00~13:00 - 시급 13,000원(제수당포함) - 일상생활도움","면접","방문","기타(건강검진1년안 / 요양보호사 자격증)","","032-508-4351","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무"
